SEQ;ACK;TIMESTAMP;PAYLOAD;RSSI;LQI
1;0;5820;LVQDYOQYK;-73;108
1;240;5820;;-73;108
2;0;5947;FDBXNQDQU;-71;106
2;240;5947;;-71;106
3;0;6075;HYDJAEEBZ;-70;107
3;240;6075;;-70;107
4;0;6205;QMTBLCABW;-72;107
4;240;6205;;-72;107
5;0;6333;GMSCRNOIA;-71;108
5;240;6333;;-71;108
6;0;6460;FTLFPCUQF;-74;108
6;240;6460;;-74;108
7;0;6584;FAXOZQEGX;-73;106
7;240;6584;;-73;106
8;0;6718;MWGGLKHVX;-78;107
8;240;6718;;-78;107
9;0;6841;TDHNZQANK;-78;107
9;240;6841;;-78;107
10;0;6970;YPRBWTEAZ;-75;107
10;240;6970;;-75;107
11;0;7096;DAFEQXTIJ;-76;107
11;240;7096;;-76;107
12;0;7228;JTKWEAZQG;-80;108
12;240;7228;;-80;108
13;0;7354;MPLOHYXRU;-90;107
13;240;7354;;-90;107
14;0;7480;TOJVBZLLQ;-76;105
14;240;7480;;-76;105
15;0;7608;GJAIDBTQI;-78;108
15;240;7608;;-78;108
16;0;7738;BYGDZCXKU;-78;107
16;240;7738;;-78;107
17;0;7864;JVWGHWBMJ;-77;106
17;240;7864;;-77;106
18;0;7993;JMBPKSNZK;-79;107
18;240;7993;;-79;107
19;0;8122;GZGILUIGG;-78;107
19;240;8122;;-78;107
20;0;8249;PKZWHAETC;-76;107
20;240;8249;;-76;107
21;0;8379;LRCYXCSIX;-75;107
21;240;8379;;-75;107
22;0;8506;SUTJMRMVQ;-75;107
22;240;8506;;-75;107
23;0;8638;LYBSJNIHN;-81;107
23;240;8638;;-81;107
24;0;8766;FQYFHYSZW;-82;108
24;240;8766;;-82;108
25;0;8891;GPSVNHNNG;-74;106
25;240;8891;;-74;106
26;0;9019;DNJZJYPQC;-77;108
26;240;9019;;-77;108
27;0;9146;FLNZTRHCF;-75;106
27;240;9146;;-75;106
28;0;9273;GBKAKZXAM;-72;107
28;240;9273;;-72;107
29;0;9406;ALSUAUXXC;-73;108
29;240;9406;;-73;108
30;0;9533;HQJXQAIDD;-73;107
30;240;9533;;-73;107
31;0;9661;TJSZGCBUL;-71;107
31;240;9661;;-71;107
32;0;9784;LYYJYMYTI;-72;107
32;240;9784;;-72;107
33;0;9914;OYAWPZSHH;-73;107
33;240;9914;;-73;107
34;0;10045;FPQPSATDD;-75;107
34;240;10045;;-75;107
35;0;10171;BCAGJGOBM;-78;107
35;240;10171;;-78;107
36;0;10301;NZVHKOXRL;-69;108
36;240;10301;;-69;108
37;0;10426;AMUZLTTSA;-69;107
37;240;10426;;-69;107
38;0;10553;XOAQBTHXA;-68;108
38;240;10553;;-68;108
39;0;10683;MSDVMVKZG;-71;107
39;240;10683;;-71;107
40;0;10809;GHTZBFOVG;-77;108
40;240;10809;;-77;108
41;0;10939;LVLTLWSZX;-72;107
41;240;10939;;-72;107
42;0;11068;FSGZSBJMO;-72;108
42;240;11068;;-72;108
43;0;11197;CFDAMJYMX;-72;107
43;240;11197;;-72;107
44;0;11322;DBDUZSITV;-76;108
44;240;11322;;-76;108
45;0;11454;ADWJAYLIE;-84;108
45;240;11454;;-84;108
