SEQ;ACK;TIMESTAMP;PAYLOAD;RSSI;LQI
1;0;2553;LVQDYOQYK;-72;108
1;240;2559;;-73;107
2;0;2681;FDBXNQDQU;-73;107
2;240;2689;;-70;108
3;0;2809;HYDJAEEBZ;-70;108
3;240;2816;;-70;108
4;0;2937;QMTBLCABW;-70;108
4;240;2944;;-71;107
5;0;3065;GMSCRNOIA;-71;107
5;240;3071;;-71;108
6;0;3193;FTLFPCUQF;-71;108
6;240;3202;;-73;108
7;0;3321;FAXOZQEGX;-73;108
7;240;3325;;-73;107
8;0;3449;MWGGLKHVX;-73;107
8;240;3459;;-78;106
9;0;3577;TDHNZQANK;-78;106
9;240;3579;;-77;107
10;0;3705;YPRBWTEAZ;-77;107
10;240;3710;;-75;107
11;0;3833;DAFEQXTIJ;-75;107
11;240;3838;;-77;106
12;0;3961;JTKWEAZQG;-77;106
12;240;3968;;-81;108
13;0;4089;MPLOHYXRU;-81;108
13;240;4094;;-89;106
14;0;4217;TOJVBZLLQ;-89;106
14;240;4218;;-76;107
15;0;4345;GJAIDBTQI;-74;108
15;240;4349;;-78;106
16;0;4473;BYGDZCXKU;-78;106
16;240;4477;;-78;106
17;0;4601;JVWGHWBMJ;-78;106
17;240;4607;;-76;107
18;0;4729;JMBPKSNZK;-76;107
18;240;4731;;-78;107
19;0;4857;GZGILUIGG;-78;107
19;240;4860;;-77;108
20;0;4985;PKZWHAETC;-77;108
20;240;4987;;-75;107
21;0;5113;LRCYXCSIX;-75;107
21;240;5118;;-74;108
22;0;5241;SUTJMRMVQ;-74;108
22;240;5247;;-75;106
23;0;5369;LYBSJNIHN;-75;106
23;240;5376;;-82;108
24;0;5497;FQYFHYSZW;-82;108
24;240;5506;;-81;105
25;0;5625;GPSVNHNNG;-81;105
25;240;5630;;-72;107
26;0;5753;DNJZJYPQC;-72;107
26;240;5760;;-78;107
27;0;5881;FLNZTRHCF;-78;107
27;240;5886;;-75;107
28;0;6009;GBKAKZXAM;-75;107
28;240;6011;;-72;107
29;0;6137;ALSUAUXXC;-72;107
29;240;6147;;-72;108
30;0;6265;HQJXQAIDD;-72;108
30;240;6271;;-73;107
31;0;6393;TJSZGCBUL;-73;107
31;240;6403;;-72;108
32;0;6521;LYYJYMYTI;-72;108
32;240;6526;;-73;108
33;0;6649;OYAWPZSHH;-73;108
33;240;6656;;-72;108
34;0;6777;FPQPSATDD;-72;108
34;240;6786;;-74;108
35;0;6905;BCAGJGOBM;-74;108
35;240;6909;;-78;108
36;0;7033;NZVHKOXRL;-78;108
36;240;7040;;-70;106
37;0;7161;AMUZLTTSA;-70;106
37;240;7169;;-68;108
38;0;7289;XOAQBTHXA;-68;108
38;240;7292;;-67;107
39;0;7417;MSDVMVKZG;-67;107
39;240;7426;;-72;107
40;0;7545;GHTZBFOVG;-72;107
40;240;7547;;-76;107
41;0;7673;LVLTLWSZX;-76;107
41;240;7681;;-71;107
42;0;7801;FSGZSBJMO;-71;107
42;240;7806;;-72;107
43;0;7929;CFDAMJYMX;-72;107
43;240;7939;;-71;108
44;0;8057;DBDUZSITV;-71;108
44;240;8061;;-78;108
45;0;8185;ADWJAYLIE;-78;108
45;240;8194;;-85;108
