Running serialdump without rlwrap support.
Consider installing rlwarp in order to be able to use command history
Flashing /dev/ttyUSB0
../contiki-ng/tools/serial-io/serialdump -b115200 /dev/ttyUSB0
[INFO: Main      ] Starting Contiki-NG
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 20967
[INFO: Main      ] Link-layer address: 0012.4b00.194a.51e7
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:194a:51e7
[INFO: Zoul      ] Zolertia RE-Mote revision B platform
SEQ;ACK;TIMESTAMP;PAYLOAD;RSSI;LQI
connected
1;0;4860; LVQDYOQYK;-79;107
1;240;4860;;-79;107
1;0;4860; LVQDYOQYK;-79;107
1;255;4872;;-83;107
1;255;4872;;-83;107
2;0;4988; FDBXNQDQU;-79;108
2;240;4988;;-79;108
2;0;4988; FDBXNQDQU;-79;108
2;255;4994;;-85;107
2;255;4994;;-85;107
3;0;5118; HYDJAEEBZ;-82;107
3;240;5118;;-82;107
3;0;5118; HYDJAEEBZ;-82;107
3;255;5125;;-84;107
3;255;5125;;-84;107
4;0;5241; QMTBLCABW;-85;107
4;240;5241;;-85;107
4;0;5242; QMTBLCABW;-85;107
4;255;5245;;-85;67
4;255;5245;;-85;67
5;0;5371; GMSCRNOIA;-79;107
5;240;5371;;-79;107
5;0;5371; GMSCRNOIA;-79;107
5;255;5377;;-81;107
5;255;5377;;-81;107
6;0;5502; FTLFPCUQF;-81;108
6;240;5502;;-81;108
6;0;5502; FTLFPCUQF;-81;108
6;255;5509;;-85;107
6;255;5509;;-85;107
7;0;5625; FAXOZQEGX;-89;107
7;240;5625;;-89;107
7;0;5626; FAXOZQEGX;-89;107
7;255;5633;;-87;108
7;255;5633;;-87;108
8;0;5755; MWGGLKHVX;-86;107
8;240;5755;;-86;107
8;0;5755; MWGGLKHVX;-86;107
8;255;5759;;-81;107
8;255;5759;;-81;107
9;0;5882; TDHNZQANK;-75;107
9;240;5882;;-75;107
9;0;5882; TDHNZQANK;-75;107
9;255;5889;;-81;107
9;255;5889;;-81;107
10;0;6013; YPRBWTEAZ;-77;107
10;240;6013;;-77;107
10;0;6013; YPRBWTEAZ;-77;107
10;255;6017;;-82;108
10;255;6017;;-82;108
11;0;6142; DAFEQXTIJ;-77;107
11;240;6142;;-77;107
11;0;6142; DAFEQXTIJ;-77;107
11;255;6152;;-79;107
11;255;6152;;-79;107
12;0;6270; JTKWEAZQG;-81;107
12;240;6270;;-81;107
12;0;6270; JTKWEAZQG;-81;107
12;255;6274;;-78;107
12;255;6274;;-78;107
13;0;6399; MPLOHYXRU;-81;108
13;240;6399;;-81;108
13;0;6399; MPLOHYXRU;-81;108
13;255;6408;;-74;107
13;255;6408;;-74;107
14;0;6522; TOJVBZLLQ;-72;108
14;240;6522;;-72;108
14;0;6522; TOJVBZLLQ;-72;108
14;255;6531;;-77;106
14;255;6531;;-77;106
15;0;6653; GJAIDBTQI;-77;107
15;240;6653;;-77;107
15;0;6653; GJAIDBTQI;-77;107
15;255;6659;;-73;107
15;255;6659;;-73;107
16;0;6777; BYGDZCXKU;-76;107
16;240;6777;;-76;107
16;0;6778; BYGDZCXKU;-76;107
16;255;6787;;-74;108
16;255;6787;;-74;108
17;0;6907; JVWGHWBMJ;-78;107
17;240;6907;;-78;107
17;0;6907; JVWGHWBMJ;-78;107
17;255;6915;;-79;107
17;255;6915;;-79;107
18;0;7035; JMBPKSNZK;-78;108
18;240;7035;;-78;108
18;0;7035; JMBPKSNZK;-78;108
18;255;7043;;-81;108
18;255;7043;;-81;108
19;0;7163; GZGILUIGG;-77;108
19;240;7163;;-77;108
19;0;7163; GZGILUIGG;-77;108
19;255;7172;;-81;108
19;255;7172;;-81;108
20;0;7291; PKZWHAETC;-73;107
20;240;7291;;-73;107
20;0;7291; PKZWHAETC;-73;107
20;255;7295;;-78;107
20;255;7295;;-78;107
21;0;7422; LRCYXCSIX;-78;108
21;240;7422;;-78;108
21;0;7422; LRCYXCSIX;-78;108
21;255;7425;;-75;107
21;255;7425;;-75;107
