Flashing /dev/ttyUSB0
rlwrap ../contiki-ng/tools/serial-io/serialdump -b115200 /dev/ttyUSB0
[INFO: Main      ] Starting Contiki-NG
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 20870
[INFO: Main      ] Link-layer address: 0012.4b00.194a.5186
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:194a:5186
[INFO: Zoul      ] Zolertia RE-Mote revision B platform
SEQ;ACK;TIMESTAMP;PAYLOAD;RSSI;LQI
1;0;2042; LVQDYOQYK;-84;107
1;240;2046;          ;-80;107
1;255;2061;          ;-81;107
2;0;2170; FDBXNQDQU;-81;107
2;240;2175;          ;-79;107
2;255;2180;          ;-79;108
3;0;2298; HYDJAEEBZ;-79;108
3;240;2304;          ;-82;108
3;255;2311;          ;-82;108
4;0;2426; QMTBLCABW;-82;108
4;240;2428;          ;-85;106
4;255;2432;          ;-84;107
5;0;2554; GMSCRNOIA;-84;107
5;240;2557;          ;-79;108
5;255;2563;          ;-80;107
6;0;2682; FTLFPCUQF;-80;107
6;240;2691;          ;-89;107
6;255;2697;          ;-85;105
7;0;2810; FAXOZQEGX;-85;105
7;240;2812;          ;-87;107
7;255;2823;          ;-79;107
8;0;2938; MWGGLKHVX;-79;107
8;240;2941;          ;-85;107
8;255;2948;          ;-83;107
9;0;3066; TDHNZQANK;-83;107
9;240;3072;          ;-74;107
9;255;3075;          ;-75;108
10;0;3194; YPRBWTEAZ;-75;108
10;240;3200;          ;-77;107
10;255;3204;          ;-76;104
11;0;3322; DAFEQXTIJ;-76;104
11;240;3331;          ;-79;107
11;255;3338;          ;-80;108
12;0;3450; JTKWEAZQG;-80;108
12;240;3461;          ;-78;107
12;255;3467;          ;-79;108
13;0;3578; MPLOHYXRU;-79;105
13;240;3585;          ;-81;107
13;255;3598;          ;-78;108
14;0;3706; TOJVBZLLQ;-78;108
14;240;3710;          ;-75;106
14;255;3717;          ;-77;107
15;0;3834; GJAIDBTQI;-77;107
15;240;3840;          ;-76;107
15;255;3845;          ;-76;107
16;0;3962; BYGDZCXKU;-76;107
16;240;3963;          ;-76;107
16;255;3973;          ;-78;108
17;0;4090; JVWGHWBMJ;-78;108
17;240;4093;          ;-79;107
17;255;4103;          ;-79;107
18;0;4218; JMBPKSNZK;-84;107
18;240;4226;          ;-82;106
18;255;4234;          ;-81;104
19;0;4346; GZGILUIGG;-81;104
19;240;4354;          ;-75;107
19;255;4360;          ;-77;106
20;0;4474; PKZWHAETC;-77;106
20;240;4481;          ;-75;107
20;255;4482;          ;-75;107
21;0;4602; LRCYXCSIX;-75;107
21;240;4611;          ;-78;107
21;255;4613;          ;-78;107
22;0;4730; SUTJMRMVQ;-78;107
22;240;4735;          ;-75;107
22;255;4743;          ;-82;107
23;0;4858; LYBSJNIHN;-82;107
23;240;4859;          ;-81;107
23;255;4876;          ;-90;108
24;0;4986; FQYFHYSZW;-90;108
24;240;4992;          ;-74;107
24;255;5002;          ;-76;106
25;0;5114; GPSVNHNNG;-76;106
25;240;5122;          ;-72;108
25;255;5134;          ;-71;108
26;0;5242; DNJZJYPQC;-71;108
26;240;5251;          ;-77;107
26;255;5272;          ;-71;107
27;0;5370; FLNZTRHCF;-71;107
27;240;5376;          ;-74;107
27;255;5393;          ;-73;107
28;0;5498; GBKAKZXAM;-73;107
28;240;5501;          ;-74;107
28;255;5507;          ;-74;108
29;0;5626; ALSUAUXXC;-74;108
29;240;5631;          ;-73;107
29;255;5638;          ;-74;107
30;0;5754; HQJXQAIDD;-74;107
30;240;5760;          ;-79;106
30;255;5766;          ;-78;108
31;0;5882; TJSZGCBUL;-78;108
31;240;5891;          ;-89;104
31;255;5903;          ;-81;108
32;0;6010; LYYJYMYTI;-81;108
32;240;6016;          ;-80;107
32;255;6023;          ;-75;107
33;0;6138; OYAWPZSHH;-75;107
33;240;6148;          ;-75;107
33;255;6153;          ;-75;106
34;0;6266; FPQPSATDD;-75;106
34;240;6274;          ;-71;107
34;255;6280;          ;-73;107
35;0;6394; BCAGJGOBM;-73;107
35;240;6399;          ;-69;108
35;255;6403;          ;-68;108
36;0;6522; NZVHKOXRL;-68;108
36;240;6528;          ;-78;107
36;255;6539;          ;-78;108
37;0;6650; AMUZLTTSA;-78;108
37;240;6656;          ;-73;107
37;255;6659;          ;-74;107
38;0;6778; XOAQBTHXA;-74;107
38;240;6786;          ;-71;108
38;255;6790;          ;-71;108
39;0;6906; MSDVMVKZG;-71;108
39;240;6910;          ;-75;107
40;0;7034; GHTZBFOVG;-75;107
40;240;7038;          ;-78;106
40;255;7050;          ;-80;108
41;0;7162; LVLTLWSZX;-80;108
41;240;7169;          ;-77;107
41;255;7174;          ;-78;107
42;0;7290; FSGZSBJMO;-78;107
42;240;7293;          ;-80;106
42;255;7300;          ;-79;108
43;0;7418; CFDAMJYMX;-79;108
43;240;7426;          ;-74;107
43;255;7428;          ;-73;108
44;0;7546; DBDUZSITV;-73;108
44;240;7555;          ;-76;107
44;255;7558;          ;-76;107
45;0;7674; ADWJAYLIE;-76;107
45;240;7681;          ;-77;108
45;255;7688;          ;-75;107
46;0;7802; ZMPPATSRA;-75;107
46;240;7807;          ;-79;107
46;255;7814;          ;-81;107
47;0;7930; JUKOTQIOL;-81;107
47;240;7933;          ;-85;107
47;255;7946;          ;-82;107
48;0;8058; UAHOAUIEM;-82;107
48;240;8065;          ;-85;107
48;255;8071;          ;-85;108
49;0;8186; XNRTGPWGA;-85;108
49;240;8189;          ;-79;107
49;255;8193;          ;-78;107
50;0;8314; UKURFVTOI;-78;107
50;240;8320;          ;-82;108
50;255;8331;          ;-79;107
51;0;8442; IZBJETJNX;-79;107
51;240;8448;          ;-80;107
51;255;8453;          ;-85;107
52;0;8570; RQLHOIOLX;-85;107
52;240;8577;          ;-82;107
52;255;8587;          ;-90;105
53;0;8698; QTGGJKMWI;-90;105
53;240;8707;          ;-80;107
53;255;8714;          ;-83;107
54;0;8826; CIXNDHETY;-97;87
54;240;8833;          ;-84;107
54;255;8838;          ;-82;107
55;0;8954; CWWNSLCHF;-82;107
55;240;8958;          ;-78;108
55;255;8962;          ;-80;104
56;0;9082; RNKRNEAUE;-80;104
56;240;9085;          ;-82;107
56;255;9099;          ;-78;108
57;0;9210; EWQKMCVXG;-78;108
57;240;9213;          ;-78;108
57;255;9239;          ;-81;107
58;0;9338; VVKRRXUWO;-81;107
58;240;9344;          ;-76;107
58;255;9352;          ;-75;107
59;0;9466; OBILAWWSI;-75;107
59;240;9469;          ;-78;106
59;255;9474;          ;-79;107
60;0;9594; TFCECYNBI;-79;107
60;240;9606;          ;-75;107
60;255;9609;          ;-76;107
61;0;9722; YWBRAKDMK;-76;107
61;240;9729;          ;-72;106
61;255;9739;          ;-74;106
62;0;9850; BJTEIQRNS;-74;106
62;240;9859;          ;-74;107
62;255;9866;          ;-76;108
63;0;9978; JBLPAXYCE;-76;108
63;240;9979;          ;-72;108
63;255;9989;          ;-71;108
64;0;10106; RDOGQIJSA;-71;108
64;240;10113;          ;-81;106
64;255;10122;          ;-85;107
