SEQ;ACK;TIMESTAMP;PAYLOAD;RSSI;LQI
1;255;12264;;-81;108
1;0;12264;LVQDYOQYKFDBXNQDQUHYDJAEEBZQMTBLCABWGMS;-81;108
2;255;12391;;-79;108
2;0;12391;CRNOIAFTLFPCUQFFAXOZQEGXMWGGLKHVXTDHNZQ;-79;108
3;255;12519;;-81;106
3;0;12519;ANKYPRBWTEAZDAFEQXTIJJTKWEAZQGMPLOHYXRU;-81;106
4;255;12640;;-82;108
4;0;12640;TOJVBZLLQGJAIDBTQIBYGDZCXKUJVWGHWBMJJMB;-82;108
5;255;12770;;-84;107
5;0;12770;PKSNZKGZGILUIGGPKZWHAETCLRCYXCSIXSUTJMR;-84;107
6;255;12905;;-76;108
6;0;12905;MVQLYBSJNIHNFQYFHYSZWGPSVNHNNGDNJZJYPQC;-76;108
7;255;13034;;-80;108
7;0;13034;FLNZTRHCFGBKAKZXAMALSUAUXXCHQJXQAIDDTJS;-80;108
8;255;13182;;-80;108
8;0;13182;ZGCBULLYYJYMYTIOYAWPZSHHFPQPSATDDBCAGJG;-80;108
9;255;13293;;-84;108
9;0;13293;OBMNZVHKOXRLAMUZLTTSAXOAQBTHXAMSDVMVKZG;-84;108
10;255;13414;;-94;101
10;0;13414;GHTZBFOVGLVLTLWSZXFSGZSBJMOCFDAMJYMXDBD;-94;101
11;255;13546;;-78;107
11;0;13546;UZSITVADWJAYLIEZMPPATSRAJUKOTQIOLUAHOAU;-78;107
12;255;13675;;-80;108
12;0;13675;IEMXNRTGPWGAUKURFVTOIIZBJETJNXRQLHOIOLX;-80;108
13;255;13807;;-96;87
13;0;13807;QTGGJKMWICIXNDHETYCWWNSLCHFRNKRNEAUEEWQ;-96;87
14;255;13925;;-89;108
14;0;13925;KMCVXGVVKRRXUWOOBILAWWSITFCECYNBIYWBRAK;-89;108
15;255;14065;;-87;108
15;0;14065;DMKBJTEIQRNSJBLPAXYCERDOGQIJSABHFMWTONB;-87;108
16;255;14184;;-75;108
16;0;14184;XCZMCNRWJFEAEUPROHQYOGUMMQIJGIFMIBTGCYP;-75;108
17;255;14315;;-79;107
17;0;14315;NJMBMTEIHPFNBKLFTKFAYIXENFXZXGBRUVAOTGE;-79;107
18;255;14447;;-88;106
18;0;14447;OMSPWQROHDBZXCUKNVKKLMGYLFFOSBZTHLLLFGB;-88;106
19;255;14568;;-81;106
19;0;14568;BZTFTRNNSWEEXMBCGBDCBRDAOXEYLIHBLMOFIYF;-81;106
20;255;14695;;-84;107
20;0;14695;YKGLGQJYYLKSASXEZTVVJJZITPWLKPVRQFYLSGE;-84;107
21;255;14827;;-90;106
21;0;14827;UOBSPBCUPQVRLPHQBMBCNPWWCOFCCTFYMLVHDXF;-90;106
22;255;14950;;-96;95
22;0;14950;YTFNZFFBHATYZMKJDCKALELCODKJEYSJAJRAANT;-96;95
23;255;15081;;-84;107
23;0;15081;VDOPUKRLFZJZIITIMFHIEFGMRYWTHZZDWHQUXUA;-84;107
24;255;15212;;-78;107
24;0;15212;QKDCBXEEYPNZHAUWQXPQGFTCJQGYFJVHWXGJPEV;-78;107
25;255;15339;;-80;108
25;0;15339;UFUYIPHVJWEUWMWXXEAJLSALOKHFIDMNMKLYOLT;-80;108
26;255;15457;;-81;107
26;0;15457;VDPJZBKQEXISGXJTDNUNDTGADIVFKLKBLMVZDQY;-81;107
27;255;15588;;-80;108
27;0;15588;VAWWJETYXZHQQELZOSDEKSXPJGAMABUCMHRQOOB;-80;108
28;255;15720;;-78;107
28;0;15720;MWAZEIQPLRSIEHVGAUVMUKDZIIYBPIVYTLLNIPX;-78;107
29;255;15844;;-83;107
29;0;15844;GXJBHOSQVQPXPISUDERNERDVFAXFXQQDLLVRVNP;-83;107
30;255;15976;;-82;107
30;0;15976;QUCYLDXDBQGNEHAJIHHVYLLYFQLSPDUJTGDJFSU;-82;107
31;255;16097;;-84;107
31;0;16097;BDHBVECDWFNBAGKYHMOBFXOATHOFHJCQYAMJHDY;-84;107
32;255;16231;;-92;107
32;0;16231;DDVIGRKYAPGCWSJDFEKXSTSWJTFMNGLIGXGAMAI;-92;107
33;255;16368;;-90;107
33;0;16368;GRVHLZUDDKGWNIVBSYPLXPONGTPKXJKKWTXSDMM;-90;107
34;255;16497;;-94;108
34;0;16497;EEJRKLCGGCJWEBAFCTGJJTWCYSSDBMMOGQMCCIL;-94;108
35;255;16623;;-95;108
35;0;16623;BHFSFJKOOMHTLBJPZLKBOYOLBWGNDRQAVDSLTXL;-95;108
36;255;16743;;-87;107
36;0;16743;EGKEMKTDJSSLTPZWMDJPRKYKNQSLFYIFEAZRSQK;-87;107
37;255;16887;;-91;105
37;0;16887;MBIAZWSBUBSFBUWBUTEKIKGNHXTWCWDQIQMAQNC;-91;105
38;255;16992;;-84;108
38;0;16992;WEPBXJWTYCFRSRGMJEDTIDYHWPALOCYXBTIMEUG;-84;108
39;255;17129;;-79;108
39;0;17129;JFGJOXIXQUFRHXGQHSNRZPFQOVZRWNEWKGWSKNP;-79;108
40;255;17257;;-85;107
40;0;17257;SPMINAMWQHMGXILZCLMFFTORMCKXMYVJLTJGJMM;-85;107
41;255;17384;;-84;108
41;0;17384;DGXRNVAPXPKRFJYWGHXUVLTIHREGSZULHYMOAMT;-84;108
42;255;17511;;-84;108
