Running serialdump without rlwrap support.
Consider installing rlwarp in order to be able to use command history
Flashing /dev/ttyUSB0
../contiki-ng/tools/serial-io/serialdump -b115200 /dev/ttyUSB0
[INFO: Main      ] Starting Contiki-NG
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 20832
[INFO: Main      ] Link-layer address: 0012.4b00.194a.5160
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:194a:5160
[INFO: Zoul      ] Zolertia RE-Mote revision B platform
SEQ;ACK;TIMESTAMP;PAYLOAD;RSSI;LQI
1;255;9084;;-79;106
1;0;9084;LVQDYOQYKFDBXNQDQUHYDJAEEBZQMTBLCABWGMS;-79;106
2;255;9211;;-73;107
2;0;9211;CRNOIAFTLFPCUQFFAXOZQEGXMWGGLKHVXTDHNZQ;-73;107
3;255;9337;;-75;106
3;0;9337;ANKYPRBWTEAZDAFEQXTIJJTKWEAZQGMPLOHYXRU;-75;106
4;255;9467;;-76;108
4;0;9467;TOJVBZLLQGJAIDBTQIBYGDZCXKUJVWGHWBMJJMB;-76;108
5;255;9594;;-85;107
5;0;9594;PKSNZKGZGILUIGGPKZWHAETCLRCYXCSIXSUTJMR;-85;107
6;255;9718;;-75;107
6;0;9718;MVQLYBSJNIHNFQYFHYSZWGPSVNHNNGDNJZJYPQC;-75;107
7;255;9854;;-94;107
7;0;9854;FLNZTRHCFGBKAKZXAMALSUAUXXCHQJXQAIDDTJS;-94;107
8;255;9980;;-68;105
8;0;9980;ZGCBULLYYJYMYTIOYAWPZSHHFPQPSATDDBCAGJG;-68;105
9;255;10106;;-74;107
9;0;10106;OBMNZVHKOXRLAMUZLTTSAXOAQBTHXAMSDVMVKZG;-74;107
10;255;10238;;-85;108
10;0;10238;GHTZBFOVGLVLTLWSZXFSGZSBJMOCFDAMJYMXDBD;-85;108
11;255;10366;;-79;106
11;0;10366;UZSITVADWJAYLIEZMPPATSRAJUKOTQIOLUAHOAU;-79;106
12;255;10489;;-67;107
12;0;10489;IEMXNRTGPWGAUKURFVTOIIZBJETJNXRQLHOIOLX;-67;107
13;255;10621;;-67;108
13;0;10621;QTGGJKMWICIXNDHETYCWWNSLCHFRNKRNEAUEEWQ;-67;108
14;255;10747;;-69;107
14;0;10747;KMCVXGVVKRRXUWOOBILAWWSITFCECYNBIYWBRAK;-69;107
15;255;10874;;-66;107
15;0;10874;DMKBJTEIQRNSJBLPAXYCERDOGQIJSABHFMWTONB;-66;107
16;255;11002;;-70;107
16;0;11002;XCZMCNRWJFEAEUPROHQYOGUMMQIJGIFMIBTGCYP;-70;107
17;255;11127;;-66;106
17;0;11127;NJMBMTEIHPFNBKLFTKFAYIXENFXZXGBRUVAOTGE;-66;106
18;255;11258;;-70;107
18;0;11258;OMSPWQROHDBZXCUKNVKKLMGYLFFOSBZTHLLLFGB;-70;107
19;255;11382;;-70;107
19;0;11382;BZTFTRNNSWEEXMBCGBDCBRDAOXEYLIHBLMOFIYF;-70;107
20;255;11510;;-77;107
20;0;11510;YKGLGQJYYLKSASXEZTVVJJZITPWLKPVRQFYLSGE;-77;107
21;255;11638;;-75;107
21;0;11638;UOBSPBCUPQVRLPHQBMBCNPWWCOFCCTFYMLVHDXF;-75;107
22;255;11767;;-77;108
22;0;11767;YTFNZFFBHATYZMKJDCKALELCODKJEYSJAJRAANT;-77;108
23;255;11897;;-76;107
23;0;11897;VDOPUKRLFZJZIITIMFHIEFGMRYWTHZZDWHQUXUA;-76;107
24;255;12026;;-72;107
24;0;12026;QKDCBXEEYPNZHAUWQXPQGFTCJQGYFJVHWXGJPEV;-72;107
25;255;12151;;-75;108
25;0;12151;UFUYIPHVJWEUWMWXXEAJLSALOKHFIDMNMKLYOLT;-75;108
26;255;12282;;-70;107
26;0;12282;VDPJZBKQEXISGXJTDNUNDTGADIVFKLKBLMVZDQY;-70;107
27;255;12409;;-75;107
27;0;12409;VAWWJETYXZHQQELZOSDEKSXPJGAMABUCMHRQOOB;-75;107
28;255;12538;;-83;108
28;0;12538;MWAZEIQPLRSIEHVGAUVMUKDZIIYBPIVYTLLNIPX;-83;108
