SEQ;ACK;TIMESTAMP;PAYLOAD;RSSI;LQI
5;0;9530;PKSNZKGZGILUIGGPKZWHAETCLRCYXCSIXSUTJMR;-55;107
5;240;9531;;-55;107
5;0;9531;PKSNZKGZGILUIGGPKZWHAETCLRCYXCSIXSUTJMR;-55;107
5;255;9539;;-85;108
5;255;9539;;-85;108
6;0;9658;MVQLYBSJNIHNFQYFHYSZWGPSVNHNNGDNJZJYPQC;-61;108
6;240;9659;;-61;108
6;0;9659;MVQLYBSJNIHNFQYFHYSZWGPSVNHNNGDNJZJYPQC;-61;108
6;255;9675;;-72;108
6;255;9675;;-72;108
7;0;9789;FLNZTRHCFGBKAKZXAMALSUAUXXCHQJXQAIDDTJS;-72;107
7;240;9790;;-72;107
7;0;9790;FLNZTRHCFGBKAKZXAMALSUAUXXCHQJXQAIDDTJS;-72;107
7;255;9801;;-93;101
7;255;9801;;-93;101
8;0;9917;ZGCBULLYYJYMYTIOYAWPZSHHFPQPSATDDBCAGJG;-70;107
8;240;9918;;-70;107
8;0;9918;ZGCBULLYYJYMYTIOYAWPZSHHFPQPSATDDBCAGJG;-70;107
8;255;9923;;-68;107
8;255;9923;;-68;107
9;0;10046;OBMNZVHKOXRLAMUZLTTSAXOAQBTHXAMSDVMVKZG;-72;107
9;240;10047;;-72;107
9;0;10047;OBMNZVHKOXRLAMUZLTTSAXOAQBTHXAMSDVMVKZG;-72;107
9;255;10052;;-74;105
9;255;10052;;-74;105
10;0;10175;GHTZBFOVGLVLTLWSZXFSGZSBJMOCFDAMJYMXDBD;-69;108
10;240;10176;;-69;108
10;0;10176;GHTZBFOVGLVLTLWSZXFSGZSBJMOCFDAMJYMXDBD;-69;108
10;255;10184;;-86;107
10;255;10184;;-86;107
11;0;10303;UZSITVADWJAYLIEZMPPATSRAJUKOTQIOLUAHOAU;-78;107
11;240;10304;;-78;107
11;0;10304;UZSITVADWJAYLIEZMPPATSRAJUKOTQIOLUAHOAU;-78;107
11;255;10312;;-79;107
11;255;10312;;-79;107
12;0;10426;IEMXNRTGPWGAUKURFVTOIIZBJETJNXRQLHOIOLX;-76;107
12;240;10426;;-76;107
12;0;10427;IEMXNRTGPWGAUKURFVTOIIZBJETJNXRQLHOIOLX;-76;107
12;255;10432;;-66;107
12;255;10432;;-66;107
13;0;10558;QTGGJKMWICIXNDHETYCWWNSLCHFRNKRNEAUEEWQ;-73;107
13;240;10559;;-73;107
13;0;10559;QTGGJKMWICIXNDHETYCWWNSLCHFRNKRNEAUEEWQ;-73;107
13;255;10566;;-67;107
13;255;10566;;-67;107
14;0;10687;KMCVXGVVKRRXUWOOBILAWWSITFCECYNBIYWBRAK;-71;107
14;240;10688;;-71;107
14;0;10688;KMCVXGVVKRRXUWOOBILAWWSITFCECYNBIYWBRAK;-71;107
14;255;10692;;-68;106
14;255;10692;;-68;106
15;0;10813;DMKBJTEIQRNSJBLPAXYCERDOGQIJSABHFMWTONB;-72;108
15;240;10814;;-72;108
15;0;10814;DMKBJTEIQRNSJBLPAXYCERDOGQIJSABHFMWTONB;-72;108
15;255;10824;;-64;108
15;255;10824;;-64;108
16;0;10940;XCZMCNRWJFEAEUPROHQYOGUMMQIJGIFMIBTGCYP;-74;107
16;240;10941;;-74;107
16;0;10941;XCZMCNRWJFEAEUPROHQYOGUMMQIJGIFMIBTGCYP;-74;107
16;255;10956;;-72;108
16;255;10956;;-72;108
17;0;11066;NJMBMTEIHPFNBKLFTKFAYIXENFXZXGBRUVAOTGE;-73;108
17;240;11067;;-73;108
17;0;11067;NJMBMTEIHPFNBKLFTKFAYIXENFXZXGBRUVAOTGE;-73;108
17;255;11081;;-67;108
17;255;11081;;-67;108
18;0;11194;OMSPWQROHDBZXCUKNVKKLMGYLFFOSBZTHLLLFGB;-73;107
18;240;11195;;-73;107
